danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.598,0.772,7,-8.444,1,0.0646,0.108,2.84e-05,0.269,0.875,76.276,audio_features,6C9EFUuUajcETapx1hnE8T,spotify:track:6C9EFUuUajcETapx1hnE8T,https://api.spotify.com/v1/tracks/6C9EFUuUajcETapx1hnE8T,https://api.spotify.com/v1/audio-analysis/6C9EFUuUajcETapx1hnE8T,469653,4
0.588,0.278,0,-11.136,1,0.0293,0.873,0.919,0.132,0.142,119.977,audio_features,6fvtNsYV1ujIgDGhPZJKhc,spotify:track:6fvtNsYV1ujIgDGhPZJKhc,https://api.spotify.com/v1/tracks/6fvtNsYV1ujIgDGhPZJKhc,https://api.spotify.com/v1/audio-analysis/6fvtNsYV1ujIgDGhPZJKhc,208298,4
0.565,0.672,6,-12.446,1,0.0325,0.0474,0.00248,0.125,0.743,134.932,audio_features,1TE4S9kqvml9o8JpPR8kBf,spotify:track:1TE4S9kqvml9o8JpPR8kBf,https://api.spotify.com/v1/tracks/1TE4S9kqvml9o8JpPR8kBf,https://api.spotify.com/v1/audio-analysis/1TE4S9kqvml9o8JpPR8kBf,237400,4
0.597,0.753,7,-9.845,1,0.041,0.147,0.00103,0.327,0.438,146.321,audio_features,5FvXMfGmOvqbkEYRtcKUzE,spotify:track:5FvXMfGmOvqbkEYRtcKUzE,https://api.spotify.com/v1/tracks/5FvXMfGmOvqbkEYRtcKUzE,https://api.spotify.com/v1/audio-analysis/5FvXMfGmOvqbkEYRtcKUzE,273867,4
0.498,0.788,8,-3.589,0,0.0391,0.325,0.382,0.0982,0.256,117.038,audio_features,1Y5Cxfxqgn1YD6qsppuOkw,spotify:track:1Y5Cxfxqgn1YD6qsppuOkw,https://api.spotify.com/v1/tracks/1Y5Cxfxqgn1YD6qsppuOkw,https://api.spotify.com/v1/audio-analysis/1Y5Cxfxqgn1YD6qsppuOkw,282453,4
0.704,0.868,1,-6.315,1,0.0366,0.0529,2.41e-05,0.0748,0.598,127.855,audio_features,5gqc96r23JjzkrSHDDitXx,spotify:track:5gqc96r23JjzkrSHDDitXx,https://api.spotify.com/v1/tracks/5gqc96r23JjzkrSHDDitXx,https://api.spotify.com/v1/audio-analysis/5gqc96r23JjzkrSHDDitXx,249907,4
0.493,0.918,0,-4.618,1,0.034,0.00452,0.0858,0.427,0.703,158.897,audio_features,3THFKx88trZuOFlssVLJ5G,spotify:track:3THFKx88trZuOFlssVLJ5G,https://api.spotify.com/v1/tracks/3THFKx88trZuOFlssVLJ5G,https://api.spotify.com/v1/audio-analysis/3THFKx88trZuOFlssVLJ5G,197053,4
0.437,0.961,9,-3.377,0,0.0435,0.508,0.0635,0.265,0.694,141.69,audio_features,77zpIPhn5YV4WofNjlbTME,spotify:track:77zpIPhn5YV4WofNjlbTME,https://api.spotify.com/v1/tracks/77zpIPhn5YV4WofNjlbTME,https://api.spotify.com/v1/audio-analysis/77zpIPhn5YV4WofNjlbTME,171960,4
0.412,0.944,0,-2.896,1,0.0448,0.0724,0.000493,0.801,0.79,123.091,audio_features,6WrnSlcN0dzTO80mVVbBto,spotify:track:6WrnSlcN0dzTO80mVVbBto,https://api.spotify.com/v1/tracks/6WrnSlcN0dzTO80mVVbBto,https://api.spotify.com/v1/audio-analysis/6WrnSlcN0dzTO80mVVbBto,215000,4
0.476,0.899,4,-6.055,0,0.0373,0.00374,0.733,0.336,0.308,100.976,audio_features,7Egh7Lhuse77CeQy6I5IhO,spotify:track:7Egh7Lhuse77CeQy6I5IhO,https://api.spotify.com/v1/tracks/7Egh7Lhuse77CeQy6I5IhO,https://api.spotify.com/v1/audio-analysis/7Egh7Lhuse77CeQy6I5IhO,299493,4
0.703,0.847,1,-5.018,1,0.0601,0.021,0.000689,0.381,0.724,150.215,audio_features,2Qs5zwxvv8xijFF4bzkDUx,spotify:track:2Qs5zwxvv8xijFF4bzkDUx,https://api.spotify.com/v1/tracks/2Qs5zwxvv8xijFF4bzkDUx,https://api.spotify.com/v1/audio-analysis/2Qs5zwxvv8xijFF4bzkDUx,196853,4
0.822,0.396,10,-14.227,0,0.0506,0.213,0.000493,0.115,0.969,142.362,audio_features,1PRrUUVpWlK0F81Kyh5Y0r,spotify:track:1PRrUUVpWlK0F81Kyh5Y0r,https://api.spotify.com/v1/tracks/1PRrUUVpWlK0F81Kyh5Y0r,https://api.spotify.com/v1/audio-analysis/1PRrUUVpWlK0F81Kyh5Y0r,221843,4
0.551,0.948,0,-4.099,0,0.165,0.00409,0.0,0.4,0.151,123.954,audio_features,7bQYnNv8VjbpY4iOZHQeq9,spotify:track:7bQYnNv8VjbpY4iOZHQeq9,https://api.spotify.com/v1/tracks/7bQYnNv8VjbpY4iOZHQeq9,https://api.spotify.com/v1/audio-analysis/7bQYnNv8VjbpY4iOZHQeq9,213227,4
0.426,0.981,10,-2.749,1,0.162,0.000537,0.0,0.357,0.0983,150.052,audio_features,05NRKMTDuXA5ehLLe0wtL0,spotify:track:05NRKMTDuXA5ehLLe0wtL0,https://api.spotify.com/v1/tracks/05NRKMTDuXA5ehLLe0wtL0,https://api.spotify.com/v1/audio-analysis/05NRKMTDuXA5ehLLe0wtL0,243600,4
0.678,0.794,7,-7.26,1,0.026,0.00862,6.29e-05,0.344,0.782,127.731,audio_features,26Hnn7LHTzd7okkIM1MQSD,spotify:track:26Hnn7LHTzd7okkIM1MQSD,https://api.spotify.com/v1/tracks/26Hnn7LHTzd7okkIM1MQSD,https://api.spotify.com/v1/audio-analysis/26Hnn7LHTzd7okkIM1MQSD,211933,4
0.866,0.645,5,-6.796,0,0.178,0.105,0.0,0.539,0.655,101.977,audio_features,6vh5xLEEkLTSsdoyXwIEl4,spotify:track:6vh5xLEEkLTSsdoyXwIEl4,https://api.spotify.com/v1/tracks/6vh5xLEEkLTSsdoyXwIEl4,https://api.spotify.com/v1/audio-analysis/6vh5xLEEkLTSsdoyXwIEl4,232827,4
0.706,0.806,2,-5.881,1,0.0653,0.05,0.0,0.0663,0.395,106.016,audio_features,5GIp3XwoMW9bbdUvGB2ydO,spotify:track:5GIp3XwoMW9bbdUvGB2ydO,https://api.spotify.com/v1/tracks/5GIp3XwoMW9bbdUvGB2ydO,https://api.spotify.com/v1/audio-analysis/5GIp3XwoMW9bbdUvGB2ydO,254119,4
0.571,0.424,5,-11.109,0,0.0368,0.771,0.881,0.111,0.502,79.956,audio_features,6gJyJsLvGVCQane5HVV9rC,spotify:track:6gJyJsLvGVCQane5HVV9rC,https://api.spotify.com/v1/tracks/6gJyJsLvGVCQane5HVV9rC,https://api.spotify.com/v1/audio-analysis/6gJyJsLvGVCQane5HVV9rC,163747,4
